WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
No,A,B,C,D,E,F,G,H,I,J,K,L
1.0,10.41,7.98,7.81,9.53,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
2.0,6.76,8.67,8.35,7.05,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
3.0,9.18,12.78,16.77,8.61,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
4.0,10.03,7.78,6.68,10.27,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
5.0,6.88,10.24,9.90,6.76,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
6.0,8.64,12.70,10.71,9.08,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
7.0,7.28,8.86,8.87,8.92,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
8.0,6.74,10.65,8.04,6.98,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
9.0,6.36,10.34,13.53,8.62,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
10.0,6.62,7.58,8.99,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
11.0,6.63,9.84,6.78,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
12.0,10.41,6.82,13.33,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
13.0,9.33,7.59,8.84,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
14.0,8.17,13.28,8.30,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
15.0,12.27,16.62,11.93,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
16.0,8.66,8.64,8.81,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
17.0,8.14,7.74,9.14,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
18.0,13.16,9.25,12.45,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
19.0,8.31,7.20,8.87,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
20.0,8.76,12.38,6.86,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
21.0,12.94,16.66,13.15,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
