WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
No,A,B,C,D,E,F,G,H,I,J,K,L
1.0,6.57,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
2.0,6.96,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
3.0,10.01,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
4.0,9.73,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
5.0,7.18,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
6.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
7.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
8.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
9.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
10.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
11.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
12.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
13.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
14.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
15.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
16.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
17.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
18.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
19.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
20.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
21.0,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
