WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
No,A,B,C,D,E,F,G,H,I,J,K,L
1.0,10.81,7.93,6.83,7.72,6.98,7.61,8.63,---.--,---.--,---.--,---.--,---.--
2.0,6.58,6.94,10.59,11.64,9.58,8.56,6.86,---.--,---.--,---.--,---.--,---.--
3.0,8.47,9.99,13.23,12.51,14.94,12.10,8.17,---.--,---.--,---.--,---.--,---.--
4.0,10.58,8.46,6.67,7.08,7.63,9.04,10.49,---.--,---.--,---.--,---.--,---.--
5.0,6.78,8.77,10.47,9.86,9.66,8.55,6.96,---.--,---.--,---.--,---.--,---.--
6.0,8.66,11.94,13.53,17.29,14.56,12.04,8.37,---.--,---.--,---.--,---.--,---.--
7.0,10.18,8.75,6.90,7.01,8.03,8.59,7.02,---.--,---.--,---.--,---.--,---.--
8.0,6.86,8.61,10.32,11.02,9.24,9.58,6.40,---.--,---.--,---.--,---.--,---.--
9.0,7.45,12.07,13.44,16.57,13.62,11.53,8.57,---.--,---.--,---.--,---.--,---.--
10.0,10.09,8.81,6.33,7.75,7.95,9.24,10.40,---.--,---.--,---.--,---.--,---.--
11.0,6.45,8.78,10.18,10.90,9.36,7.00,6.32,---.--,---.--,---.--,---.--,---.--
12.0,8.22,11.74,14.98,16.72,11.74,11.40,8.45,---.--,---.--,---.--,---.--,---.--
13.0,11.21,8.35,7.08,7.67,7.33,8.94,---.--,---.--,---.--,---.--,---.--,---.--
14.0,6.96,8.53,10.27,9.14,8.24,7.06,---.--,---.--,---.--,---.--,---.--,---.--
15.0,8.22,9.32,14.91,15.39,11.91,7.56,---.--,---.--,---.--,---.--,---.--,---.--
16.0,9.04,8.55,7.44,7.23,7.97,10.00,---.--,---.--,---.--,---.--,---.--,---.--
17.0,7.08,8.45,9.90,11.61,8.00,9.41,---.--,---.--,---.--,---.--,---.--,---.--
18.0,8.19,11.97,13.94,15.25,10.27,7.96,---.--,---.--,---.--,---.--,---.--,---.--
19.0,9.43,7.07,7.02,7.80,8.99,9.16,---.--,---.--,---.--,---.--,---.--,---.--
20.0,6.92,9.84,11.71,11.78,9.75,7.01,---.--,---.--,---.--,---.--,---.--,---.--
21.0,8.46,10.61,10.09,15.04,16.37,7.95,---.--,---.--,---.--,---.--,---.--,---.--
