WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
No,A,B,C,D,E,F,G,H,I,J,K,L
1.0,8.13,7.95,8.90,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
2.0,10.45,9.59,7.17,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
3.0,7.04,7.39,9.12,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
4.0,11.42,9.55,6.95,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
5.0,8.36,7.62,9.27,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
6.0,11.16,9.72,7.02,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
7.0,8.28,8.26,9.36,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
8.0,10.85,9.58,6.84,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
9.0,7.19,7.27,8.14,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
10.0,8.10,8.55,7.15,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
11.0,7.84,7.39,10.92,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
12.0,9.14,8.46,7.19,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
13.0,9.52,7.90,11.02,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
14.0,9.19,7.30,7.04,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
15.0,9.17,7.41,11.09,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
16.0,9.16,8.58,6.95,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
17.0,8.72,7.45,10.63,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
18.0,8.89,10.19,7.43,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
19.0,8.70,7.41,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
20.0,8.77,8.89,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
21.0,8.86,7.28,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
