WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
No,A,B,C,D,E,F,G,H,I,J,K,L
1.0,10.48,6.96,7.55,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
2.0,7.08,12.10,8.85,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
3.0,10.58,8.33,7.82,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
4.0,7.01,10.06,8.92,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
5.0,10.22,7.08,7.39,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
6.0,6.78,7.62,9.16,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
7.0,11.55,8.82,8.96,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
8.0,7.60,7.34,7.39,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
9.0,10.35,8.58,7.26,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
10.0,7.20,7.18,7.47,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
11.0,11.45,8.62,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
12.0,7.30,7.29,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
13.0,9.35,8.45,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
14.0,6.62,8.54,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
15.0,10.02,8.08,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
16.0,8.26,7.62,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
17.0,11.78,9.33,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
18.0,8.09,7.13,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
19.0,8.94,7.68,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
20.0,8.16,7.49,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
21.0,11.92,7.80,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
