WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
No,A,B,C,D,E,F,G,H,I,J,K,L
1.0,8.58,10.47,9.11,8.05,7.49,---.--,---.--,---.--,---.--,---.--,---.--,---.--
2.0,11.42,7.46,7.84,11.53,8.19,---.--,---.--,---.--,---.--,---.--,---.--,---.--
3.0,7.20,7.39,8.65,6.64,10.90,---.--,---.--,---.--,---.--,---.--,---.--,---.--
4.0,8.08,9.36,10.93,9.90,8.41,---.--,---.--,---.--,---.--,---.--,---.--,---.--
5.0,7.23,9.87,9.88,7.72,12.63,---.--,---.--,---.--,---.--,---.--,---.--,---.--
6.0,10.00,9.23,7.39,11.90,12.88,---.--,---.--,---.--,---.--,---.--,---.--,---.--
7.0,7.79,9.21,10.84,9.35,8.06,---.--,---.--,---.--,---.--,---.--,---.--,---.--
8.0,10.73,8.17,7.43,9.42,7.77,---.--,---.--,---.--,---.--,---.--,---.--,---.--
9.0,7.89,7.92,10.33,6.85,7.93,---.--,---.--,---.--,---.--,---.--,---.--,---.--
10.0,11.70,9.37,6.76,12.54,6.28,---.--,---.--,---.--,---.--,---.--,---.--,---.--
11.0,8.33,7.23,10.95,11.33,11.36,---.--,---.--,---.--,---.--,---.--,---.--,---.--
12.0,10.57,9.61,8.97,11.44,8.92,---.--,---.--,---.--,---.--,---.--,---.--,---.--
13.0,9.86,11.72,8.19,7.73,7.44,---.--,---.--,---.--,---.--,---.--,---.--,---.--
14.0,12.70,8.04,7.24,8.82,9.82,---.--,---.--,---.--,---.--,---.--,---.--,---.--
15.0,8.10,8.97,10.46,12.06,10.50,---.--,---.--,---.--,---.--,---.--,---.--,---.--
16.0,7.82,6.48,6.58,8.09,8.95,---.--,---.--,---.--,---.--,---.--,---.--,---.--
17.0,8.35,10.35,9.10,9.12,10.56,---.--,---.--,---.--,---.--,---.--,---.--,---.--
18.0,11.57,6.27,7.01,13.36,6.78,---.--,---.--,---.--,---.--,---.--,---.--,---.--
19.0,7.38,7.39,12.94,8.20,6.46,---.--,---.--,---.--,---.--,---.--,---.--,---.--
20.0,6.22,7.07,8.84,11.49,8.11,---.--,---.--,---.--,---.--,---.--,---.--,---.--
21.0,9.45,6.16,9.68,7.23,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
