WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
No,A,B,C,D,E,F,G,H,I,J,K,L
1.0,7.17,7.03,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
2.0,6.94,10.61,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
3.0,10.21,4.77,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
4.0,11.46,6.72,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
5.0,5.57,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
6.0,7.88,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
7.0,6.80,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
8.0,10.94,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
9.0,12.85,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
10.0,6.05,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
11.0,7.31,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
12.0,6.83,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
13.0,10.38,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
14.0,8.46,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
15.0,6.73,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
16.0,8.40,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
17.0,6.79,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
18.0,9.29,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
19.0,9.31,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
20.0,7.60,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
21.0,7.67,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--,---.--
